Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
03/13/1942,The Ghost of Frankenstein,A monster and Ygor are chased out of town. They encourage the younger son of Dr. Frankenstein to continue experiments and transplant Ygor's brain.,Erle C. Kenton,"Lon Chaney Jr.,
Bela Lugosi,
Cedric Hardwicke",Hans J. Salter,Frankenstein 4
04/22/1942,Saboteur,Aircraft factory worker Barry Kane flees across the United States after he is wrongly accused of starting the fire that killed his best friend.,Alfred Hitchcock,"Robert Cummings,
Priscilla Lane,
Otto Kruger",Frank Skinner,
05/29/1942,Yankee Doodle Dandy,"From his early days as a child star to the time of his comeback getting a medal, George M. Cohan produces, writes, and performs in musical shows.",Michael Curtiz,"James Cagney,
Joan Leslie,
Walter Huston","Ray Heindorf,
Heinz Roemheld",
06/04/1942,Mrs. Miniver,"In England, Kay's family lives during World War II. Her son Vin courts a granddaughter and becomes a fighter pilot. Kay dislikes hearing air raid sirens.",William Wyler,"Greer Garson,
Walter Pidgeon,
Teresa Wright",Herbert Stothart,
07/10/1942,The Magnificent Ambersons,The spoiled heir to a decaying fortune dislikes a man whom his widowed mother rejected yet still loves. He mocks automobiles before their growth.,Orson Welles,"Joseph Cotten,
Dolores Costello,
Anne Baxter",N/A,
07/15/1942,The Pride of the Yankees,"Lou Gehrig's mother wants him to be an engineer, but he utilizes his talent for baseball to become a New York Yankees first baseman. He becomes ill.",Sam Wood,"Gary Cooper,
Teresa Wright,
Babe Ruth",Leigh Harline,
08/04/1942,Holiday Inn,"At a venue open only on holidays, farmer crooner Jim and dancer Ted vie for the affections of Linda, a beautiful, aspiring performer who sells flowers.",Mark Sandrich,"Bing Crosby,
Fred Astaire,
Marjorie Reynolds",Irving Berlin,
08/13/1942,Bambi,"A buck fawn joins a rabbit and a skunk to explore his forest home. From his doting mother and his father, he learns of the dangers in the meadows.",David Hand,"Donnie Dunagan,
Hardie Albright,
John Sutherland","Frank Churchill,
Edward H. Plumb",
11/10/1942,Road to Morocco,"Starving Jeff sells best friend Orvill into slavery in a Moroccan marketplace for food. A week later, Jeff learns Orville is now engaged to a princess.",David Butler,"Bing Crosby,
Bob Hope,
Dorothy Lamour","Victor Young,
Johnny Burke,
Jimmy Van Heusen",
01/12/1943,Shadow of a Doubt,"In Santa Rosa, teenage Charlie, overjoyed when her uncle visits the family, gradually believes he is the Merry Widow Murderer sought by authorities.",Alfred Hitchcock,"Teresa Wright,
Joseph Cotten,
Macdonald Carey",Dimitri Tiomkin,
01/23/1943,Casablanca,"In Morocco, American café owner Rick struggles to decide whether to help his former lover Ilsa and her fugitive husband Victor escape corrupt Nazis.",Michael Curtiz,"Humphrey Bogart,
Ingrid Bergman,
Paul Henreid",Max Steiner,
02/06/1943,Saludos Amigos,"Disney animators tour South America and present inspired upbeat shorts ""Lake Titicaca"", ""Pedro"", ""El Gaucho Goofy"", and ""Aquarela do Brasil"".","Norman Ferguson,
Wilfred Jackson,
Jack Kinney,
Hamilton Luske,
Bill Roberts","Lee Blair,
Mary Blair,
Pinto Colvig","Paul Smith,
Edward H. Plumb",
02/12/1943,Journey into Fear,"An American ballistics expert is targeted by Nazi agents in Turkey. Safe passage home by ship is arranged, but his pursuers are also on board.","Norman Foster,
Orson Welles","Joseph Cotten,
Dolores del Río,
Ruth Warrick",Roy Webb,
03/05/1943,Frankenstein Meets the Wolf Man,"The resurrected Wolf Man, seeking a cure for his malady, enlists the aid of a mad scientist, who also revives the frozen Frankenstein's monster.",Roy William Neill,"Lon Chaney Jr.,
Bela Lugosi,
Ilona Massey",Hans J. Salter,
07/21/1943,Stormy Weather,"Great dancer Mr. Bill recounts his past to children. In 1918, he meets singer Selina and promises to return to her. She refuses him after both succeed.",Andrew L. Stone,"Lena Horne,
Bill Robinson,
Cab Calloway",Cyril J. Mockridge,
12/21/1943,The Song of Bernadette,"In 1858, 14-year-old Bernadette experiences 18 visions of the Blessed Virgin Mary. Many believe her sincere. Civil and church leaders confront her.",Henry King,"Jennifer Jones,
Charles Bickford,
William Eythe",Alfred Newman,
01/11/1944,Lifeboat,Several survivors of a torpedoed merchant ship in World War II find themselves in the same lifeboat with a crew member of the U-boat that sank them.,Alfred Hitchcock,"Tallulah Bankhead,
William Bendix,
Walter Slezak",Hugo W. Friedhofer,
05/04/1944,Gaslight,"Years after her opera singer aunt was killed in her home for jewels, Paula moves back with Gregory. He drives her insane to hide he is the same thief.",George Cukor,"Charles Boyer,
Ingrid Bergman,
Joseph Cotten",Bronisław Kaper,
07/06/1944,Double Indemnity,An insurance representative lets himself be talked by a seductive housewife into a murder plot that arouses the suspicion of a claims adjuster friend.,Billy Wilder,"Fred MacMurray,
Barbara Stanwyck,
Edward G. Robinson",Miklós Rózsa,
09/01/1944,Arsenic and Old Lace,A writer of books on the futility of marriage gets married and learns on his wedding day that his beloved maiden aunts are habitual murderers.,Frank Capra,"Cary Grant,
Raymond Massey,
Peter Lorre",Max Steiner,
10/11/1944,To Have and Have Not,"In 1940, an American expatriate helps transport by boat a French Resistance leader and his wife to Martinique while romancing a lounge singer.",Howard Hawks,"Humphrey Bogart,
Walter Brennan,
Lauren Bacall",Franz Waxman,
11/28/1944,Meet Me in St. Louis,"In 1903, the well-off Smith family in St. Louis has four daughters, including 17-year old Esther, who has fallen in love. The family must move for work.",Vincente Minnelli,"Judy Garland,
Margaret O'Brien,
Mary Astor",George Stoll,
12/01/1944,House of Frankenstein,"A deranged scientist escapes from prison and recruits Dracula, Frankenstein's monster, and the Wolf Man to get revenge on his behalf.",Erle C. Kenton,"Boris Karloff,
Lon Chaney Jr.,
John Carradine","Hans J. Salter,
Paul Dessau",
01/25/1945,The Thin Man Goes Home,"Nick and Nora visit Nick's hometown of Sycamore Springs to visit his parents, but they get mixed up in a murder case involving paintings and aircrafts.",Richard Thorpe,"William Powell,
Myrna Loy,
Lucile Watson",David Snell,Thin Man 5
01/26/1945,National Velvet,"In England, a jaded former jockey with hidden ties to the Brown family helps 12-year-old girl prepare a wild horse for the Grand National steeplechase.",Clarence Brown,"Mickey Rooney,
Elizabeth Taylor,
Donald Crisp",Herbert Stothart,
02/03/1945,The Three Caballeros,"Donald receives his birthday gifts, which include traditional gifts and information about Brazil from a parrot and Mexico from a charro rooster.",Norman Ferguson,"Clarence Nash,
José Oliveira,
Joaquin Garay","Edward H. Plumb,
Paul J. Smith,
Charles Wolcott",
07/19/1945,Anchors Aweigh,"Two sailors go on a shore leave in Hollywood and meet a young boy and his aunt, an aspiring young singer. They try to help her get an MGM audition.",George Sidney,"Frank Sinatra,
Kathryn Grayson,
Gene Kelly",Georgie Stoll,
09/28/1945,Mildred Pierce,"After her second husband is murdered, Mildred reveals how she divorced her husband and made a restaurant business to support a brat daughter.",Michael Curtiz,"Joan Crawford,
Jack Carson,
Zachary Scott",Max Steiner,
10/31/1945,Spellbound,"In Vermont, Green Manors hospital psychoanalyst Constance learns her love is an amnesia patient accused of murder so tries to recover memories.",Alfred Hitchcock,"Ingrid Bergman,
Gregory Peck,
Michael Chekhov",Miklós Rózsa,
11/29/1945,The Lost Weekend,"In New York, alcoholic Don seems to be over the worst, but his craving has become more insidious. His brother and girlfriend plan a country weekend.",Billy Wilder,"Ray Milland,
Jane Wyman,
Phillip Terry",Miklós Rózsa,
12/06/1945,The Bells of St. Mary's,"At St. Mary's parish, Father O'Malley and Sister Benedict indulge in friendly rivalry and succeed in extending the school through the gift of a building.",Leo McCarey,"Bing Crosby,
Ingrid Bergman,
Henry Travers",Robert Emmett Dolan,
12/07/1945,House of Dracula,"The Wolf Man and Count Dracula beg Dr. Edelmann to cure them of killing instincts, but Dracula schemes to seduce the doctor's nurse.",Erle C. Kenton,"Lon Chaney Jr.,
Martha O'Driscoll,
John Carradine",William Lava,
04/20/1946,Make Mine Music,"Nine musical animated shorts such as ""Casey at the Bat"", ""Peter and the Wolf"", and ""The Whale Who Wanted to Sing at the Met"" are collected.","Jack Kinney,
Clyde Geronimi,
Hamilton Luske,
Joshua Meador,
Robert Cormack","Nelson Eddy,
Dinah Shore,
Benny Goodman","Eliot Daniel,
Ken Darby,
Charles Wolcott,
Oliver Wallace,
Edward Plumb",
05/10/1946,A Night in Casablanca,"In Casablanca after World War I, hotel manager Kornblow, his bodyguard, and a valet collide with Nazis trying to recover a cache of stolen treasure.",Archie Mayo,"Groucho Marx,
Harpo Marx,
Chico Marx","Bert Kalmar,
Harry Ruby,
Werner Janssen",
07/02/1946,The Stranger,An investigator from the War Crimes Commission travels to a quaint Connecticut town to find an infamous Nazi official who has erased his identity.,Orson Welles,"Edward G. Robinson,
Loretta Young,
Orson Welles",Bronisław Kaper,
08/15/1946,Notorious,A U.S. government agent enlists the help of a war criminal's daughter to infiltrate a Nazi organization and seduce its crooked leader in Rio de Janeiro.,Alfred Hitchcock,"Cary Grant,
Ingrid Bergman,
Claude Rains",Roy Webb,
11/12/1946,Song of the South,"The kindly storyteller Uncle Remus tells a young boy stories about trickster Br'er Rabbit, who outwits Br'er Fox and slow-witted Br'er Bear.","Harve Foster,
Wilfred Jackson","James Baskett,
Bobby Driscoll,
Luana Patten","Daniele Amfitheatrof,
Paul J. Smith,
Charles Wolcott",
11/21/1946,The Best Years of Our Lives,"Three World War II veterans, two traumatized or disabled, return home to the Midwest to discover they and their families have irreparably changed.",William Wyler,"Myrna Loy,
Fredric March,
Dana Andrews",Hugo Friedhofer,
12/03/1946,My Darling Clementine,"In 1882, with their cattle stolen and their brother murdered by the Clantons, Wyatt Earp returns to Tombstone as a town marshal seeking to avenge.",John Ford,"Henry Fonda,
Victor Mature,
Linda Darnell",Cyril J. Mockridge,
12/20/1946,It's a Wonderful Life,"In Bedford Falls, angel Clarence helps George, a suicidal businessman, by showing him a timeline of his town and his friends without his existence.",Frank Capra,"James Stewart,
Donna Reed,
Lionel Barrymore",Dimitri Tiomkin,
12/31/1946,Duel in the Sun,"Half Native American Pearl becomes the ward of her dead father's old love and is torn between her two sons, gentlemanly Jessie and flirtatious Lewt.",King Vidor,"Jennifer Jones,
Joseph Cotten,
Gregory Peck",Dimitri Tiomkin,
03/13/1947,It Happened in Brooklyn,"When Danny returns to Brooklyn after World War II, he helps shy Jamie gain confidence and a wife in the form of teacher and aspiring singer Anne.",Richard Whorf,"Frank Sinatra,
Peter Lawford,
Kathryn Grayson",Johnny Green,
05/02/1947,Miracle on 34th Street,"In New York, Kris Kringle becomes a department store Santa and claims to be the real Santa. An attorney and a young girl must prove so in court.",George Seaton,"Maureen O'Hara,
John Payne,
Edmund Gwenn",Cyril Mockridge,
05/22/1947,Great Expectations,Orphan Pip learns a mysterious benefactor wants to ensure he becomes a gentleman. He reunites with Miss Havisham and childhood friend Estella.,David Lean,"John Mills,
Valerie Hobson,
Bernard Miles",Walter Goehr,
08/20/1947,Mother Wore Tights,"Myrtle plans to join a business school but joins a chorus line. A singer dancer notices her talent, hires her for a travelling act, and then marries her.",Walter Lang,"Betty Grable,
Dan Dailey,
Mona Freeman","Frank Burt,
David Buttolph",
08/28/1947,Song of the Thin Man,Society sleuths Nick and Nora attend a charity benefit but are soon called to investigate the murder of a bandleader in a New York jazz club.,Edward Buzzell,"William Powell,
Myrna Loy,
Keenan Wynn",David Snell,Thin Man 6
09/27/1947,Fun and Fancy Free,"Jiminy Cricket hosts two shorts: ""Bongo,"" about a circus bear escaping to the wild, and ""Mickey and the Beanstalk,"" a take on the famous fairy tale.","Jack Kinney,
Bill Roberts,
Hamilton Luske,
William Morgan","Cliff Edwards,
Edgar Bergen,
Luana Patten","Oliver Wallace,
Paul Smith,
Eliot Daniel,
Charles Wolcott",
10/09/1947,Nightmare Alley,Stan joins a sideshow as a carny and an assistant of mentalist Zeena. He becomes a mentalist who tricks Chicago's rich and befriends a psychologist.,Edmund Goulding,"Tyrone Power,
Joan Blondell,
Coleen Gray",Cyril J. Mockridge,
11/11/1947,Gentleman's Agreement,A reporter with a son adopts a Jewish identity for six months to cover a story on anti-Semitism. He witnesses bigotry from his fiancée and New York.,Elia Kazan,"Gregory Peck,
Dorothy McGuire,
John Garfield",Alfred Newman,
12/09/1947,The Bishop's Wife,"Debonair angel Dudley comes to Earth to help an Episcopalian bishop, his wife, and their daughter raise enough money to construct a new cathedral.",Henry Koster,"Cary Grant,
Loretta Young,
David Niven",Hugo Friedhofer,
12/25/1947,A Double Life,Celebrated stage actor Tony works to distinguish his own life from that of his newest role Othello. His ex-wife and co-star Britta fears his obsession.,George Cukor,"Ronald Colman,
Signe Hasso,
Edmond O'Brien",Miklós Rózsa,
12/29/1947,The Paradine Case,"In London, a woman is accused of poisoning her older, blind husband. She hires a happily married barrister, but he begins to fall in love with her.",Alfred Hitchcock,"Gregory Peck,
Ann Todd,
Alida Valli",Franz Waxman,
01/24/1948,The Treasure of the Sierra Madre,"In 1925, two broke Americans searching for work in Mexico convince an old ex-prospector to help them locate gold in the Sierra Madre mountains.",John Huston,"Humphrey Bogart,
Walter Huston,
Tim Holt",Max Steiner,
03/23/1948,The Search,A nine-year-old Czech Auschwitz survivor flees a refugee center in postwar Germany and is found by an American G.I. The boy's mother seeks him.,Fred Zinnemann,"Montgomery Clift,
Aline MacMahon,
Jarmila Novotná",Robert Blum,
04/30/1948,State of the Union,Newspaper magnate Thorndyke loves Grant and has him become Republican President nominee. His estranged wife Mary dislikes lying politicians.,Frank Capra,"Spencer Tracy,
Katharine Hepburn,
Van Johnson",Victor Young,
05/27/1948,Melody Time,"Seven musically charged animated shorts are collected. Episodes include fantasy, folklore, South American rhythms, poetry, and slapstick.","Jack Kinney,
Clyde Geronimi,
Hamilton Luske,
Wilfred Jackson","Roy Rogers,
Trigger,
Dennis Day","Eliot Daniel,
Paul J. Smith,
Ken Darby",
06/15/1948,Abbott and Costello Meet Frankenstein,Two baggade clerks for a wax museum freight are told by the Wolf Man that Dracula desires a brain for Frankenstein's monster's body. He finds one.,Charles Barton,"Bud Abbott,
Lou Costello,
Lon Chaney Jr.",Frank Skinner,
06/30/1948,A Foreign Affair,"In 1947 occupied Berlin, an army captain is torn between an ex-Nazi café singer and the prim U.S. congresswoman investigating her after rumors.",Billy Wilder,"Jean Arthur,
Marlene Dietrich,
John Lund",Friedrich Hollaender,
07/16/1948,Key Largo,"A veteran visits his war buddy's family hotel and finds an exiled gangster in charge. As a hurricane approaches, the veteran has a reluctance to act.",John Huston,"Humphrey Bogart,
Edward G. Robinson,
Lauren Bacall",Max Steiner,
08/26/1948,Rope,Two roommates attempt to prove they committed a perfect crime to a publisher by hosting a dinner party after strangling a former classmate to death.,Alfred Hitchcock,"James Stewart,
John Dall,
Farley Granger","David Buttolph,
Francis Poulenc,
Leo F. Forbstein",
10/07/1948,Macbeth,"A man receives a prophecy from witches that he will become King of Scotland. Pushed by his wife, he murders his king and takes the throne himself.",Orson Welles,"Orson Welles,
Jeanette Nolan,
Dan O'Herlihy",Jacques Ibert,
01/19/1949,Criss Cross,"An armored truck driver and his ex-wife, who is now married to a mobster, conspire with a gang to have his own truck robbed en route in daylight.",Robert Siodmak,"Burt Lancaster,
Yvonne De Carlo,
Dan Duryea",Miklós Rózsa,
07/27/1949,Mighty Joe Young,"A young woman who has raised a giant gorilla from an infant brings him to Hollywood years later so he becomes a star, seeking her fortune.",Ernest B. Schoedsack,"Terry Moore,
Ben Johnson,
Robert Armstrong",Roy Webb,
09/02/1949,White Heat,An unhinged criminal with a mother complex escapes from prison with an undercover agent and leads his old gang in a chemical plant heist.,Raoul Walsh,"James Cagney,
Virginia Mayo,
Edmond O'Brien",Max Steiner,
10/05/1949,The Adventures of Ichabod and Mr. Toad,"Mr. Toad is prone to fads, such as the motor car. Ichabod, the new schoolmaster, falls for a beauty, but the town bully decides he is too successful.","Jack Kinney,
Clyde Geronimi,
James Algar","Eric Blore,
J. Pat O'Malley,
Colin Campbell",Oliver Wallace,
10/06/1949,The Heiress,"In the 1850s, a plain, naive woman falls for a man despite the objections of her emotionally abusive father who suspects he is after their large fortune.",William Wyler,"Olivia de Havilland,
Montgomery Clift,
Ralph Richardson",Aaron Copland,
11/18/1949,Adam's Rib,Domestic and professional tensions mount when a husband and wife work as opposing lawyers in a case involving a woman who shot her husband.,George Cukor,"Spencer Tracy,
Katharine Hepburn,
Judy Holliday",Miklós Rózsa,
12/08/1949,On the Town,"Three sailors begin their shore leave, excited for their 24 hours in New York City. With two women, they race to find a woman pictured in the subway.","Gene Kelly,
Stanley Donen","Gene Kelly,
Frank Sinatra,
Betty Garrett","Leonard Bernstein,
Roger Edens,
Lennie Hayton",
12/14/1949,Sands of Iwo Jima,"Haunted by demons, a Marine Sergeant is hated and feared by his men, who see him as a cold sadist. They soon understand his rigid discipline.",Allan Dwan,"John Wayne,
John Agar,
Forrest Tucker",Victor Young,
02/02/1950,The Third Man,"American pulp novelist Holly Martins travels to postwar Vienna, only to find himself investigating the mysterious death of an old friend Harry Lime.",Carol Reed,"Joseph Cotten,
Alida Valli,
Orson Welles",Anton Karas,
02/23/1950,Stage Fright,An aspiring actress tries to help a friend prove his innocence after he is accused of killing a stage singer's husband. She pretends to be a dresser.,Alfred Hitchcock,"Jane Wyman,
Marlene Dietrich,
Michael Wilding",Leighton Lucas,
03/03/1950,Love Happy,"Young hopefuls trying to stage a Broadway show are sustained with food by shoplifter Harpo, who also donated a sardine can hiding rare diamonds.",David Miller,"Harpo Marx,
Chico Marx,
Groucho Marx",Ann Ronell,
03/04/1950,Cinderella,"When a cruel stepmother prevents a girl from attending the Royal Ball, she gets some help from two lovable mice and from her Fairy Godmother.","Clyde Geronimi,
Hamilton Luske,
Wilfred Jackson","Ilene Woods,
Eleanor Audley,
Verna Felton","Oliver Wallace,
Paul J. Smith",
03/31/1950,Cheaper by the Dozen,"Frank and his wife Lillian raise 12 children. Both renowned efficiency experts, they face challenges in parenting, but their eldest daughter helps them.",Walter Lang,"Clifton Webb,
Myrna Loy,
Jeanne Crain",Cyril J. Mockridge,
04/12/1950,Riding High,"Expected to marry a wealthy boss's daughter, a horse trainer who has fallen on hard times looks to his horse Broadway Bill to win a long shot race.",Frank Capra,"Bing Crosby,
Coleen Gray,
Charles Bickford",Victor Young,
05/12/1950,The Asphalt Jungle,"When smart criminal Doc is released from prison, he recruits safecracker Louie, driver Gus, and his friend Dix for a heist of over $500,000 of jewelry.",John Huston,"Sterling Hayden,
Louis Calhern,
Jean Hagen",Miklós Rózsa,
05/18/1950,Father of the Bride,"Stanley, the tense lawyer father of Kay, recalls the emotional pain of her getting married, along with the trouble of arranging the expensive wedding.",Vincente Minnelli,"Spencer Tracy,
Elizabeth Taylor,
Joan Bennett",Adolph Deutsch,
06/07/1950,Winchester '73,"To find an outlaw, a cowboy joins a sharpshooting contest and wins the top prize: a Winchester rifle. When the outlaw steals the gun, a chase ensues.",Anthony Mann,"James Stewart,
Shelley Winters,
Dan Duryea",N/A,
06/23/1950,The Gunfighter,"Notorious gunfighter Jimmy Ringo returns to town after eight years to his true love, who does not want to see him. He finally meets his son with her.",Henry King,"Gregory Peck,
Helen Westcott,
Millard Mitchell",Alfred Newman,
08/10/1950,Sunset Boulevard,"A screenwriter starts a relationship with a faded film star who draws him into a demented fantasy world, where she dreams of making a big return.",Billy Wilder,"William Holden,
Gloria Swanson,
Erich von Stroheim",Franz Waxman,
10/13/1950,All About Eve,"A seemingly besotted fan insinuates herself into the lives of an aging Broadway star and her allies, but she is a manipulative actress with ambitions.",Joseph L. Mankiewicz,"Bette Davis,
Anne Baxter,
George Sanders",Alfred Newman,
11/16/1950,Cyrano de Bergerac,"In 1640 Paris, a charismatic swordsman poet with a large nose loves Roxane. She wants handsome Christian, whom he secretly composes letters for.",Michael Gordon,"José Ferrer,
Mala Powers,
William Prince",Dimitri Tiomkin,
12/21/1950,Harvey,"Insisting he has an invisible six-foot-tall rabbit for a best friend, a whimsical, wise middle-aged man is thought by his friends and family to be insane.",Henry Koster,"James Stewart,
Josephine Hull,
Peggy Dow",Frank Skinner,
12/25/1950,Born Yesterday,"Uneducated Billie embarrasses uncouth junkyard tycoon Harry, so he hires journalist Paul to teach her. She learns Harry is corrupt and falls in love.",George Cukor,"Judy Holliday,
Broderick Crawford,
William Holden",Frederick Hollander,
03/08/1951,Royal Wedding,Brother and sister dancers are asked to perform in England at the time of Princess Elizabeth’s wedding. Each develops a British love interest.,Stanley Donen,"Fred Astaire,
Jane Powell,
Sarah Churchill","Burton Lane,
Alan Jay Lerner",
03/08/1951,The Lemon Drop Kid,"A New York City swindler has until Christmas Eve to come up with the $10,000 he owes a gangster after horse touting. He sets up a retirement home.","Sidney Lanfield,
Frank Tashlin","Bob Hope,
Marilyn Maxwell,
Lloyd Nolan",Victor Young,
06/30/1951,Strangers on a Train,"A psychotic socialite confronts a pro tennis star with a theory on how two complete strangers can get away with murder, planning to implement it.",Alfred Hitchcock,"Farley Granger,
Ruth Roman,
Robert Walker",Dimitri Tiomkin,
07/28/1951,Alice in Wonderland,"Young Alice follows a white rabbit into a merry, topsy-turvy world where she encounters the Queen of Hearts and her army of playing cards.","Clyde Geronimi,
Wilfred Jackson,
Hamilton Luske","Kathryn Beaumont,
Ed Wynn,
Richard Haydn",Oliver Wallace,
09/18/1951,A Streetcar Named Desire,Disturbed teacher Blanche moves to live with her sister in New Orleans. She is tormented by her brutish brother-in-law while her reality crumbles.,Elia Kazan,"Vivien Leigh,
Marlon Brando,
Kim Hunter",Alex North,
09/18/1951,The Day the Earth Stood Still,"Klaatu, an alien, lands and tells the people of Earth that they must live peacefully or be destroyed by a robot as a danger to other planets.",Robert Wise,"Michael Rennie,
Patricia Neal,
Hugh Marlowe",Bernard Herrmann,
09/20/1951,Here Comes the Groom,"In Paris, foreign correspondent Pete has five days to win back his engaged former fiancée Emmadel so he can keep adopted orphans Bobby and Suzi.",Frank Capra,"Bing Crosby,
Jane Wyman,
Alexis Smith",Joseph J. Lilley,
09/26/1951,An American in Paris,"In Paris, an American painter struggles until a rich heiress assists him. He falls for a French woman engaged to a singer while with his pianist friend.",Vincente Minnelli,"Gene Kelly,
Leslie Caron,
Oscar Levant","Saul Chaplin,
Johnny Green",
10/24/1951,Detective Story,An angry New York detective is one of a precinct of cops in a daily battle with the city's lowlife. His pursuit of an abortionist tells him about his wife.,William Wyler,"Kirk Douglas,
Eleanor Parker,
William Bendix",N/A,
12/26/1951,Rashomon,"In Japan, the rape of a bride and the murder of her samurai husband are recalled by a bandit, the bride, the samurai's ghost, and a woodcutter.",Akira Kurosawa,"Toshiro Mifune,
Machiko Kyō,
Masayuki Mori",Fumio Hayasaka,
12/26/1951,The African Queen,"In 1914 Africa, a Canadian mechanic riverboat captain is persuaded by a British missionary to use his boat to attack a German enemy warship.",John Huston,"Humphrey Bogart,
Katharine Hepburn,
Robert Morley",Allan Gray,
01/10/1952,The Greatest Show on Earth,"A circus manager hires the flirty Great Sebastian, but this moves his girlfriend Holly from her center trapeze spot. Trouble brews for a secretive clown.",Cecil B. DeMille,"Betty Hutton,
Cornel Wilde,
Charlton Heston",Victor Young,
03/27/1952,Singin' in the Rain,"In 1927 Hollywood, a silent film company and an on-screen couple who barely tolerate each other transition to sound as a chorus girl debuts.","Gene Kelly,
Stanley Donen","Gene Kelly,
Donald O'Connor,
Debbie Reynolds","Nacio Herb Brown,
Arthur Freed",
04/04/1952,With a Song in My Heart,"In 1943, actress and singer Jane is crippled by an airplane crash. She entertains the troops in World War II despite now having to walk with crutches.",Walter Lang,"Susan Hayward,
Rory Calhoun,
David Wayne",Alfred Newman,
07/24/1952,High Noon,"A town marshal, against the wishes of his bride, must face a gang of deadly killers alone when the gang leader, an outlaw, arrives on the noon train.",Fred Zinnemann,"Gary Cooper,
Thomas Mitchell,
Lloyd Bridges",Dimitri Tiomkin,
08/21/1952,The Quiet Man,"In the 1920s, a retired American boxer returns to his birth village in Ireland, where he falls for a spirited redhead whose brother refuses consent.",John Ford,"John Wayne,
Maureen O'Hara,
Barry Fitzgerald",Victor Young,
12/23/1952,Moulin Rouge,"In 1890 Paris, artist Henri de Toulouse-Lautrec, a short, disfigured man, experiences the bohemian culture both in and around a burlesque nightclub.",John Huston,"José Ferrer,
Zsa Zsa Gabor,
Suzanne Flon","Georges Auric,
William Engvick",
02/01/1953,The Naked Spur,"In 1868, bounty hunter Howard struggles to bring a murderer, Ben Vandergroat, to justice. He must request help from Ben's friend Lina to catch him.",Anthony Mann,"James Stewart,
Janet Leigh,
Robert Ryan",Bronisław Kaper,
02/05/1953,Peter Pan,"Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, a boy who never grows up, and a pixie.","Clyde Geronimi,
Wilfred Jackson,
Hamilton Luske","Bobby Driscoll,
Kathryn Beaumont,
Hans Conried",Oliver Wallace,
03/04/1953,Call Me Madam,"Wealthy Washington, D.C. socialite Sally Adams is appointed ambassador to the tiny country of Lichtenburg. She is joined by a young journalist.",Walter Lang,"Ethel Merman,
Donald O'Connor,
Vera-Ellen","Irving Berlin,
Alfred Newman",
04/01/1953,Fear and Desire,Four soldiers survive the crash-landing of their plane in a forest six miles behind enemy lines. A peasant woman encounters them as they hide.,Stanley Kubrick,"Frank Silvera,
Paul Mazursky,
Kenneth Harp",Gerald Fried,
04/10/1953,House of Wax,"An associate burns down a wax museum with the wax figure sculptor owner inside, but the owner survives only to become vengeful and murderous.",Andre DeToth,"Vincent Price,
Frank Lovejoy,
Phyllis Kirk",David Buttolph,
04/18/1953,Titanic,"In 1912, Julia takes her two children and boards a ship that will sink. Her husband Richard boards to regain custody but learns his son is not really his.",Jean Negulesco,"Clifton Webb,
Barbara Stanwyck,
Robert Wagner",Sol Kaplan,
04/23/1953,Shane,"In Wyoming, a weary gunfighter attempts to settle down with a homestead family, but a smoldering settler and cattle baron conflict forces him to act.",George Stevens,"Alan Ladd,
Jean Arthur,
Van Heflin",Victor Young,
05/01/1953,Pony Express,Buffalo Bill and Wild Bill Hickock work to establish a mail route and battle hostile Indians and California secessionists who seek to destroy it.,Jerry Hopper,"Charlton Heston,
Rhonda Fleming,
Forrest Tucker",Paul Sawtell,
07/01/1953,Stalag 17,"In 1944, when escaping American prisoners are killed, the German prisoner-of-war camp barracks black marketeer is thought to be an informer.",Billy Wilder,"William Holden,
Don Taylor,
Otto Preminger",Franz Waxman,
07/02/1953,Houdini,"Starting as a carnival act and famously escaping from a locked trunk in an ice-jammed river, Harry emerges as a famous magician and escape artist.",George Marshall,"Tony Curtis,
Janet Leigh,
Torin Thatcher",Roy Webb,
07/15/1953,Gentlemen Prefer Blondes,"American showgirls Lorelei and Dorothy travel to Paris, pursued by a private detective hired by the father of Lorelei's fiancé as well as a rich old man.",Howard Hawks,"Jane Russell,
Marilyn Monroe,
Charles Coburn","Hoagy Carmichael,
Jule Styne,
Eliot Daniel,
Lionel Newman",
08/03/1953,Arrowhead,"A maverick scout works with the cavalry at Fort Clark, Texas and dreams of peace, despite opposition from the U.S. Army and the Apaches.",Charles Marquis Warren,"Charlton Heston,
Jack Palance,
Katy Jurado",Paul Sawtell,
08/05/1953,From Here to Eternity,"In 1941 Hawaii, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second-in-command are falling in love.",Fred Zinnemann,"Burt Lancaster,
Montgomery Clift,
Deborah Kerr",George Duning,
08/12/1953,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,"Bumbling American detectives Tubby and Slim working for the London police force are kicked out after a mob fight. To rejoin, they hunt Mr. Hyde.",Charles Lamont,"Bud Abbott,
Lou Costello,
Boris Karloff",N/A,
08/27/1953,Roman Holiday,A touring princess escapes her Roman guardians and falls in love with an American news reporter who spends time with her and wants an interview.,William Wyler,"Gregory Peck,
Audrey Hepburn,
Eddie Albert","Georges Auric,
Victor Young",
